x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100
0.0,0.15,0.3,0.44999999999999996,0.6,0.75,0.9,1.05,1.2,1.3499999999999999,1.4999999999999998,1.6499999999999997,1.7999999999999996,1.9499999999999995,2.0999999999999996,2.2499999999999996,2.3999999999999995,2.5499999999999994,2.6999999999999993,2.849999999999999,2.999999999999999,3.149999999999999,3.299999999999999,3.449999999999999,3.5999999999999988,3.7499999999999987,3.8999999999999986,4.049999999999999,4.199999999999999,4.35,4.5,4.65,4.800000000000001,4.950000000000001,5.100000000000001,5.250000000000002,5.400000000000002,5.5500000000000025,5.700000000000003,5.850000000000003,6.0000000000000036,6.150000000000004,6.300000000000004,6.450000000000005,6.600000000000005,6.750000000000005,6.900000000000006,7.050000000000006,7.200000000000006,7.350000000000007,7.500000000000007,7.6500000000000075,7.800000000000008,7.950000000000008,8.100000000000009,8.250000000000009,8.40000000000001,8.55000000000001,8.70000000000001,8.85000000000001,9.00000000000001,9.150000000000011,9.300000000000011,9.450000000000012,9.600000000000012,9.750000000000012,9.900000000000013,10.050000000000013,10.200000000000014,10.350000000000014,10.500000000000014,10.650000000000015,10.800000000000015,10.950000000000015,11.100000000000016,11.250000000000016,11.400000000000016,11.550000000000017,11.700000000000017,11.850000000000017,12.000000000000018,12.150000000000018,12.300000000000018,12.450000000000019,12.60000000000002,12.75000000000002,12.90000000000002,13.05000000000002,13.20000000000002,13.350000000000021,13.500000000000021,13.650000000000022,13.800000000000022,13.950000000000022,14.100000000000023,14.250000000000023,14.400000000000023,14.550000000000024,14.700000000000024,14.850000000000025,15.000000000000025
50.0,-3.8366666666666713,-3.686666666666671,-3.536666666666671,-3.386666666666671,-3.2366666666666712,-3.086666666666671,-2.936666666666671,-2.786666666666671,-2.636666666666671,-2.486666666666671,-2.336666666666671,-2.186666666666671,-2.036666666666671,-1.8866666666666714,-1.7366666666666715,-1.5866666666666716,-1.4366666666666716,-1.2866666666666717,-1.1366666666666716,-0.9866666666666718,-0.8366666666666719,-0.686666666666672,-0.5366666666666721,-0.38666666666667215,-0.23666666666667224,-0.08666666666667244,0.06333333333332739,0.21333333333332719,0.36333333333332707,0.513333333333327,0.6633333333333269,0.8133333333333268,0.9633333333333267,1.1133333333333266,1.2633333333333265,1.4133333333333264,1.5633333333333264,1.7133333333333267,1.863333333333327,2.0133333333333274,2.163333333333328,2.313333333333328,2.4633333333333285,2.613333333333329,2.763333333333329,2.9133333333333296,3.06333333333333,3.2133333333333303,3.3633333333333306,3.513333333333331,3.6633333333333313,3.8133333333333317,3.963333333333332,4.113333333333332,4.263333333333333,4.413333333333333,4.5633333333333335,4.713333333333334,4.863333333333334,5.0133333333333345,5.163333333333335,5.313333333333335,5.463333333333336,5.613333333333336,5.763333333333336,5.913333333333337,6.063333333333337,6.213333333333337,6.363333333333338,6.513333333333338,6.663333333333338,6.813333333333339,6.963333333333338,7.113333333333339,7.263333333333339,7.413333333333339,7.56333333333334,7.71333333333334,7.86333333333334,8.01333333333334,8.163333333333341,8.313333333333341,8.463333333333342,8.613333333333342,8.763333333333343,8.913333333333343,9.063333333333343,9.213333333333344,9.363333333333344,9.513333333333344,9.663333333333345,9.813333333333345,9.963333333333345,10.113333333333346,10.263333333333346,10.413333333333346,10.563333333333347,10.713333333333347,10.863333333333347,11.013333333333348
100.0,-7.796666666666656,-7.646666666666654,-7.4966666666666555,-7.346666666666653,-7.196666666666653,-7.046666666666653,-6.8966666666666505,-6.74666666666665,-6.59666666666665,-6.446666666666648,-6.296666666666647,-6.146666666666647,-5.996666666666647,-5.8466666666666445,-5.696666666666644,-5.546666666666644,-5.396666666666643,-5.246666666666641,-5.096666666666641,-4.946666666666641,-4.79666666666664,-4.64666666666664,-4.496666666666638,-4.346666666666637,-4.196666666666637,-4.046666666666637,-3.896666666666636,-3.7466666666666364,-3.596666666666636,-3.446666666666636,-3.296666666666636,-3.1466666666666363,-2.9966666666666364,-2.8466666666666365,-2.6966666666666366,-2.5466666666666367,-2.3966666666666367,-2.246666666666637,-2.096666666666637,-1.946666666666637,-1.796666666666637,-1.6466666666666372,-1.4966666666666373,-1.3466666666666374,-1.1966666666666375,-1.0466666666666375,-0.8966666666666376,-0.7466666666666377,-0.5966666666666378,-0.4466666666666379,-0.296666666666638,-0.14666666666663808,0.003333333333361832,0.15333333333336174,0.30333333333336165,0.45333333333336157,0.6033333333333615,0.7533333333333609,0.9033333333333604,1.0533333333333603,1.2033333333333598,1.3533333333333593,1.5033333333333587,1.6533333333333582,1.8033333333333577,1.9533333333333571,2.1033333333333566,2.253333333333356,2.403333333333356,2.5533333333333554,2.703333333333355,2.8533333333333544,3.003333333333354,3.1533333333333533,3.3033333333333528,3.4533333333333522,3.6033333333333517,3.7533333333333516,3.903333333333351,4.0533333333333506,4.203333333333351,4.353333333333351,4.503333333333352,4.653333333333352,4.803333333333352,4.953333333333353,5.103333333333353,5.253333333333353,5.403333333333354,5.553333333333354,5.7033333333333545,5.853333333333355,6.003333333333355,6.1533333333333555,6.303333333333356,6.453333333333356,6.603333333333357,6.753333333333357,6.903333333333357,7.053333333333358
150.0,-11.729999999999974,-11.579999999999975,-11.429999999999973,-11.279999999999973,-11.129999999999972,-10.979999999999972,-10.82999999999997,-10.67999999999997,-10.52999999999997,-10.379999999999969,-10.229999999999967,-10.079999999999966,-9.929999999999966,-9.779999999999964,-9.629999999999963,-9.479999999999963,-9.329999999999963,-9.179999999999962,-9.029999999999962,-8.87999999999996,-8.72999999999996,-8.57999999999996,-8.429999999999959,-8.279999999999957,-8.129999999999956,-7.979999999999956,-7.8299999999999566,-7.679999999999957,-7.529999999999958,-7.379999999999958,-7.229999999999958,-7.079999999999958,-6.929999999999959,-6.779999999999959,-6.629999999999959,-6.47999999999996,-6.32999999999996,-6.179999999999961,-6.02999999999996,-5.879999999999962,-5.729999999999961,-5.579999999999962,-5.429999999999962,-5.279999999999963,-5.1299999999999635,-4.979999999999964,-4.829999999999964,-4.679999999999964,-4.529999999999965,-4.379999999999965,-4.229999999999966,-4.079999999999965,-3.929999999999966,-3.7799999999999656,-3.6299999999999653,-3.4799999999999653,-3.3299999999999654,-3.1799999999999646,-3.0299999999999647,-2.8799999999999644,-2.7299999999999645,-2.579999999999964,-2.4299999999999637,-2.279999999999964,-2.129999999999964,-1.9799999999999631,-1.829999999999963,-1.6799999999999633,-1.5299999999999636,-1.3799999999999637,-1.229999999999964,-1.0799999999999648,-0.9299999999999651,-0.7799999999999652,-0.6299999999999655,-0.47999999999996606,-0.32999999999996626,-0.17999999999996652,-0.029999999999966775,0.12000000000003275,0.27000000000003255,0.4200000000000323,0.570000000000032,0.7200000000000315,0.8700000000000312,1.0200000000000309,1.1700000000000303,1.32000000000003,1.4700000000000297,1.6200000000000294,1.7700000000000289,1.9200000000000286,2.0700000000000283,2.220000000000028,2.370000000000028,2.520000000000028,2.670000000000028,2.820000000000028,2.9700000000000277,3.1200000000000276
200.0,-15.63666666666667,-15.48666666666667,-15.336666666666668,-15.186666666666667,-15.036666666666667,-14.886666666666667,-14.736666666666666,-14.586666666666666,-14.436666666666666,-14.286666666666665,-14.136666666666663,-13.986666666666663,-13.836666666666662,-13.686666666666664,-13.536666666666664,-13.386666666666661,-13.236666666666661,-13.08666666666666,-12.93666666666666,-12.78666666666666,-12.63666666666666,-12.48666666666666,-12.336666666666659,-12.186666666666659,-12.036666666666658,-11.886666666666658,-11.736666666666656,-11.586666666666655,-11.436666666666655,-11.286666666666655,-11.136666666666654,-10.986666666666654,-10.836666666666654,-10.686666666666653,-10.536666666666653,-10.386666666666653,-10.236666666666652,-10.086666666666652,-9.93666666666665,-9.78666666666665,-9.636666666666649,-9.486666666666649,-9.336666666666648,-9.186666666666648,-9.036666666666648,-8.886666666666647,-8.736666666666645,-8.586666666666645,-8.436666666666644,-8.286666666666644,-8.136666666666644,-7.986666666666643,-7.836666666666643,-7.686666666666643,-7.536666666666644,-7.3866666666666445,-7.236666666666644,-7.086666666666645,-6.936666666666645,-6.786666666666646,-6.636666666666645,-6.486666666666646,-6.3366666666666465,-6.186666666666647,-6.036666666666647,-5.886666666666647,-5.736666666666648,-5.586666666666647,-5.436666666666648,-5.286666666666648,-5.136666666666649,-4.986666666666649,-4.836666666666649,-4.68666666666665,-4.53666666666665,-4.38666666666665,-4.23666666666665,-4.086666666666651,-3.936666666666651,-3.7866666666666506,-3.6366666666666507,-3.4866666666666504,-3.3366666666666505,-3.18666666666665,-3.03666666666665,-2.88666666666665,-2.73666666666665,-2.5866666666666496,-2.4366666666666497,-2.2866666666666493,-2.1366666666666494,-1.9866666666666493,-1.8366666666666491,-1.686666666666649,-1.5366666666666489,-1.3866666666666487,-1.2366666666666486,-1.0866666666666485,-0.9366666666666484,-0.7866666666666484
250.0,-19.516666666666655,-19.366666666666653,-19.216666666666654,-19.066666666666656,-18.916666666666657,-18.766666666666655,-18.616666666666656,-18.466666666666658,-18.31666666666666,-18.166666666666657,-18.01666666666666,-17.86666666666666,-17.71666666666666,-17.566666666666663,-17.416666666666664,-17.266666666666666,-17.116666666666667,-16.966666666666665,-16.816666666666666,-16.666666666666668,-16.51666666666667,-16.36666666666667,-16.21666666666667,-16.06666666666667,-15.916666666666671,-15.76666666666667,-15.616666666666669,-15.466666666666669,-15.316666666666668,-15.166666666666668,-15.016666666666667,-14.866666666666665,-14.716666666666667,-14.566666666666665,-14.416666666666664,-14.266666666666664,-14.116666666666664,-13.966666666666663,-13.816666666666663,-13.66666666666666,-13.516666666666662,-13.36666666666666,-13.21666666666666,-13.06666666666666,-12.916666666666659,-12.766666666666659,-12.616666666666658,-12.466666666666656,-12.316666666666656,-12.166666666666655,-12.016666666666655,-11.866666666666655,-11.716666666666654,-11.566666666666654,-11.416666666666654,-11.266666666666652,-11.116666666666651,-10.96666666666665,-10.81666666666665,-10.66666666666665,-10.51666666666665,-10.36666666666665,-10.216666666666649,-10.066666666666647,-9.916666666666647,-9.766666666666646,-9.616666666666646,-9.466666666666645,-9.316666666666645,-9.166666666666643,-9.016666666666644,-8.866666666666642,-8.716666666666642,-8.566666666666642,-8.416666666666641,-8.26666666666664,-8.11666666666664,-7.966666666666639,-7.81666666666664,-7.666666666666639,-7.51666666666664,-7.36666666666664,-7.21666666666664,-7.066666666666641,-6.916666666666641,-6.766666666666641,-6.6166666666666405,-6.46666666666664,-6.31666666666664,-6.166666666666639,-6.016666666666639,-5.866666666666639,-5.716666666666638,-5.566666666666638,-5.416666666666638,-5.266666666666637,-5.116666666666637,-4.966666666666637,-4.816666666666636,-4.666666666666636
300.0,-23.369999999999926,-23.219999999999928,-23.06999999999993,-22.91999999999993,-22.769999999999932,-22.61999999999993,-22.46999999999993,-22.319999999999933,-22.16999999999993,-22.019999999999932,-21.869999999999933,-21.719999999999935,-21.569999999999936,-21.419999999999934,-21.269999999999936,-21.119999999999937,-20.96999999999994,-20.81999999999994,-20.669999999999938,-20.51999999999994,-20.36999999999994,-20.219999999999942,-20.06999999999994,-19.91999999999994,-19.769999999999943,-19.619999999999944,-19.469999999999946,-19.319999999999943,-19.169999999999945,-19.019999999999946,-18.869999999999948,-18.71999999999995,-18.569999999999947,-18.41999999999995,-18.26999999999995,-18.11999999999995,-17.96999999999995,-17.81999999999995,-17.669999999999952,-17.519999999999953,-17.369999999999955,-17.219999999999953,-17.069999999999954,-16.919999999999956,-16.769999999999957,-16.61999999999996,-16.469999999999956,-16.319999999999958,-16.16999999999996,-16.019999999999957,-15.869999999999958,-15.71999999999996,-15.569999999999958,-15.419999999999959,-15.26999999999996,-15.119999999999958,-14.96999999999996,-14.819999999999961,-14.669999999999959,-14.51999999999996,-14.369999999999962,-14.21999999999996,-14.069999999999961,-13.919999999999963,-13.76999999999996,-13.619999999999962,-13.469999999999963,-13.319999999999961,-13.169999999999963,-13.019999999999964,-12.869999999999962,-12.719999999999963,-12.569999999999965,-12.419999999999963,-12.269999999999964,-12.119999999999965,-11.969999999999963,-11.819999999999965,-11.669999999999966,-11.519999999999964,-11.369999999999965,-11.219999999999967,-11.069999999999965,-10.919999999999966,-10.769999999999968,-10.619999999999965,-10.469999999999967,-10.319999999999968,-10.169999999999966,-10.019999999999968,-9.869999999999969,-9.719999999999967,-9.569999999999968,-9.41999999999997,-9.269999999999971,-9.119999999999973,-8.969999999999974,-8.819999999999975,-8.669999999999977,-8.519999999999976
350.0,-27.196666666666665,-27.046666666666663,-26.896666666666665,-26.746666666666663,-26.596666666666664,-26.446666666666662,-26.29666666666666,-26.14666666666666,-25.99666666666666,-25.84666666666666,-25.69666666666666,-25.546666666666656,-25.396666666666658,-25.246666666666655,-25.096666666666657,-24.946666666666655,-24.796666666666656,-24.646666666666654,-24.496666666666655,-24.346666666666653,-24.19666666666665,-24.046666666666653,-23.89666666666665,-23.746666666666652,-23.59666666666665,-23.446666666666648,-23.29666666666665,-23.146666666666647,-22.99666666666665,-22.846666666666646,-22.696666666666644,-22.546666666666646,-22.396666666666643,-22.24666666666664,-22.096666666666643,-21.94666666666664,-21.79666666666664,-21.646666666666636,-21.496666666666638,-21.346666666666636,-21.196666666666633,-21.04666666666663,-20.89666666666663,-20.74666666666663,-20.59666666666663,-20.446666666666626,-20.296666666666624,-20.146666666666626,-19.996666666666624,-19.84666666666662,-19.69666666666662,-19.546666666666617,-19.39666666666662,-19.246666666666616,-19.096666666666614,-18.946666666666612,-18.796666666666614,-18.64666666666661,-18.49666666666661,-18.346666666666607,-18.19666666666661,-18.046666666666606,-17.896666666666604,-17.746666666666602,-17.5966666666666,-17.4466666666666,-17.2966666666666,-17.146666666666597,-16.996666666666595,-16.846666666666597,-16.696666666666594,-16.546666666666592,-16.39666666666659,-16.246666666666588,-16.09666666666659,-15.946666666666587,-15.796666666666587,-15.646666666666587,-15.496666666666586,-15.346666666666586,-15.196666666666585,-15.046666666666585,-14.896666666666585,-14.746666666666584,-14.596666666666584,-14.446666666666584,-14.296666666666583,-14.146666666666583,-13.996666666666583,-13.846666666666582,-13.696666666666582,-13.546666666666582,-13.396666666666581,-13.24666666666658,-13.09666666666658,-12.94666666666658,-12.79666666666658,-12.64666666666658,-12.496666666666579,-12.346666666666579
400.0,-30.996666666666698,-30.8466666666667,-30.696666666666697,-30.546666666666695,-30.396666666666697,-30.246666666666695,-30.096666666666696,-29.946666666666694,-29.796666666666695,-29.646666666666693,-29.49666666666669,-29.346666666666692,-29.19666666666669,-29.04666666666669,-28.89666666666669,-28.74666666666669,-28.59666666666669,-28.44666666666669,-28.296666666666688,-28.14666666666669,-27.996666666666687,-27.84666666666669,-27.696666666666687,-27.546666666666688,-27.396666666666686,-27.246666666666687,-27.096666666666685,-26.946666666666683,-26.79666666666668,-26.646666666666682,-26.49666666666668,-26.34666666666668,-26.196666666666676,-26.046666666666678,-25.896666666666675,-25.746666666666673,-25.59666666666667,-25.446666666666673,-25.29666666666667,-25.14666666666667,-24.996666666666666,-24.846666666666668,-24.696666666666665,-24.546666666666663,-24.39666666666666,-24.246666666666663,-24.09666666666666,-23.94666666666666,-23.79666666666666,-23.646666666666658,-23.496666666666655,-23.346666666666653,-23.196666666666655,-23.046666666666653,-22.89666666666665,-22.74666666666665,-22.59666666666665,-22.446666666666648,-22.296666666666646,-22.146666666666643,-21.996666666666645,-21.846666666666643,-21.69666666666664,-21.54666666666664,-21.39666666666664,-21.246666666666638,-21.096666666666636,-20.946666666666633,-20.796666666666635,-20.646666666666633,-20.49666666666663,-20.34666666666663,-20.19666666666663,-20.046666666666628,-19.896666666666626,-19.746666666666627,-19.596666666666625,-19.446666666666623,-19.29666666666662,-19.146666666666622,-18.99666666666662,-18.846666666666618,-18.696666666666616,-18.546666666666617,-18.396666666666615,-18.246666666666613,-18.09666666666661,-17.946666666666612,-17.79666666666661,-17.646666666666608,-17.496666666666606,-17.346666666666607,-17.196666666666605,-17.046666666666603,-16.8966666666666,-16.746666666666602,-16.5966666666666,-16.446666666666598,-16.296666666666596,-16.146666666666597
450.0,-34.77,-34.620000000000005,-34.470000000000006,-34.32,-34.17,-34.019999999999996,-33.87,-33.72,-33.56999999999999,-33.419999999999995,-33.269999999999996,-33.11999999999999,-32.96999999999999,-32.81999999999999,-32.66999999999999,-32.51999999999999,-32.36999999999999,-32.219999999999985,-32.069999999999986,-31.919999999999984,-31.769999999999982,-31.619999999999983,-31.46999999999998,-31.319999999999983,-31.16999999999998,-31.019999999999982,-30.86999999999998,-30.71999999999998,-30.56999999999998,-30.41999999999998,-30.26999999999998,-30.11999999999998,-29.969999999999978,-29.81999999999998,-29.669999999999977,-29.51999999999998,-29.369999999999976,-29.219999999999978,-29.069999999999975,-28.919999999999977,-28.769999999999975,-28.619999999999976,-28.469999999999974,-28.319999999999975,-28.169999999999973,-28.019999999999975,-27.869999999999973,-27.719999999999974,-27.569999999999972,-27.419999999999973,-27.26999999999997,-27.119999999999973,-26.96999999999997,-26.819999999999972,-26.66999999999997,-26.51999999999997,-26.36999999999997,-26.21999999999997,-26.06999999999997,-25.91999999999997,-25.769999999999968,-25.61999999999997,-25.469999999999967,-25.31999999999997,-25.169999999999966,-25.019999999999968,-24.869999999999965,-24.719999999999967,-24.569999999999965,-24.419999999999966,-24.269999999999964,-24.119999999999965,-23.969999999999963,-23.819999999999965,-23.669999999999963,-23.519999999999964,-23.369999999999962,-23.219999999999963,-23.06999999999996,-22.919999999999963,-22.769999999999964,-22.619999999999965,-22.469999999999967,-22.31999999999997,-22.16999999999997,-22.01999999999997,-21.869999999999973,-21.719999999999974,-21.569999999999975,-21.419999999999977,-21.26999999999998,-21.11999999999998,-20.96999999999998,-20.819999999999983,-20.669999999999984,-20.519999999999985,-20.369999999999987,-20.219999999999988,-20.06999999999999,-19.91999999999999
