x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
0.0,-30.952700217555567,-28.952700217555563,-26.952700217555563,-24.952700217555567,-22.952700217555567,-20.95270021755557,-18.952700217555567,-16.952700217555567,-14.952700217555568,-12.952700217555567,-10.952700217555563,-8.952700217555561,-6.952700217555564,-4.952700217555561,-2.9527002175555603,-0.9527002175555623,1.0472997824444417,3.0472997824444388,5.047299782444436,7.047299782444438,9.047299782444439,11.04729978244444,13.04729978244444,15.04729978244444,17.04729978244444,19.04729978244444,21.047299782444444,23.04729978244444,25.047299782444437,27.047299782444437,29.04729978244443,31.047299782444433,33.04729978244443,35.04729978244443,37.04729978244443,39.04729978244443,41.04729978244443,43.04729978244443,45.04729978244443,47.04729978244443,49.04729978244443,51.04729978244443,53.04729978244443,55.04729978244443,57.04729978244443,59.04729978244443,61.04729978244444,63.04729978244443,65.04729978244444,67.04729978244444
50.0,-33.06700663596093,-31.06700663596093,-29.06700663596093,-27.06700663596093,-25.067006635960933,-23.067006635960933,-21.067006635960933,-19.067006635960933,-17.067006635960933,-15.067006635960935,-13.067006635960936,-11.067006635960935,-9.067006635960933,-7.067006635960934,-5.067006635960934,-3.0670066359609347,-1.0670066359609343,0.9329933640390651,2.932993364039067,4.932993364039065,6.932993364039068,8.932993364039069,10.932993364039069,12.93299336403907,14.93299336403907,16.932993364039074,18.932993364039074,20.932993364039074,22.932993364039078,24.932993364039074,26.93299336403907,28.93299336403907,30.932993364039067,32.93299336403907,34.93299336403907,36.93299336403907,38.93299336403907,40.93299336403907,42.93299336403907,44.93299336403907,46.93299336403907,48.93299336403907,50.93299336403907,52.93299336403907,54.93299336403907,56.93299336403907,58.93299336403907,60.93299336403907,62.93299336403907,64.93299336403908
100.0,-35.2936550592622,-33.29365505926221,-31.293655059262203,-29.2936550592622,-27.2936550592622,-25.2936550592622,-23.2936550592622,-21.2936550592622,-19.293655059262196,-17.293655059262196,-15.293655059262196,-13.293655059262196,-11.293655059262196,-9.293655059262196,-7.293655059262198,-5.2936550592622,-3.293655059262199,-1.2936550592621938,0.7063449407378046,2.7063449407378037,4.706344940737801,6.706344940737799,8.706344940737804,10.7063449407378,12.706344940737797,14.706344940737793,16.706344940737793,18.706344940737797,20.706344940737797,22.7063449407378,24.7063449407378,26.706344940737807,28.706344940737807,30.706344940737807,32.70634494073781,34.70634494073781,36.70634494073781,38.70634494073781,40.70634494073781,42.70634494073781,44.70634494073781,46.70634494073781,48.70634494073781,50.70634494073781,52.70634494073781,54.70634494073781,56.70634494073781,58.70634494073781,60.70634494073781,62.70634494073781
150.0,-37.63690808438888,-35.636908084388885,-33.63690808438888,-31.63690808438888,-29.636908084388878,-27.636908084388878,-25.636908084388878,-23.636908084388878,-21.63690808438888,-19.636908084388878,-17.636908084388878,-15.636908084388876,-13.636908084388875,-11.636908084388878,-9.636908084388878,-7.63690808438888,-5.63690808438888,-3.636908084388877,-1.636908084388879,0.3630919156111212,2.363091915611117,4.3630919156111165,6.3630919156111165,8.363091915611117,10.363091915611117,12.363091915611113,14.36309191561112,16.36309191561112,18.363091915611125,20.363091915611125,22.363091915611122,24.36309191561112,26.36309191561113,28.36309191561113,30.36309191561113,32.36309191561113,34.36309191561113,36.36309191561113,38.36309191561113,40.36309191561113,42.36309191561113,44.36309191561113,46.36309191561113,48.36309191561113,50.36309191561113,52.36309191561113,54.36309191561113,56.36309191561113,58.36309191561113,60.36309191561113
200.0,-40.10107212560028,-38.10107212560029,-36.1010721256003,-34.1010721256003,-32.1010721256003,-30.101072125600293,-28.101072125600286,-26.101072125600286,-24.101072125600286,-22.101072125600286,-20.10107212560029,-18.10107212560029,-16.10107212560029,-14.101072125600293,-12.101072125600295,-10.101072125600298,-8.101072125600298,-6.101072125600298,-4.101072125600295,-2.1010721256002913,-0.1010721256002951,1.8989278743997047,3.898927874399703,5.898927874399702,7.898927874399702,9.898927874399702,11.898927874399705,13.898927874399707,15.898927874399705,17.898927874399707,19.898927874399714,21.898927874399714,23.89892787439972,25.89892787439972,27.898927874399728,29.898927874399728,31.898927874399728,33.898927874399725,35.898927874399725,37.898927874399725,39.898927874399725,41.898927874399725,43.898927874399725,45.898927874399725,47.898927874399725,49.898927874399725,51.898927874399725,53.898927874399725,55.898927874399725,57.898927874399725
250.0,-42.69048907148955,-40.69048907148955,-38.690489071489544,-36.69048907148955,-34.69048907148955,-32.69048907148956,-30.69048907148956,-28.69048907148956,-26.69048907148956,-24.69048907148956,-22.690489071489562,-20.690489071489562,-18.69048907148956,-16.69048907148956,-14.690489071489562,-12.69048907148956,-10.690489071489562,-8.69048907148956,-6.690489071489561,-4.690489071489558,-2.6904890714895564,-0.6904890714895584,1.309510928510442,3.309510928510444,5.309510928510446,7.309510928510446,9.30951092851045,11.30951092851045,13.30951092851045,15.309510928510452,17.30951092851045,19.309510928510445,21.30951092851044,23.30951092851045,25.30951092851044,27.309510928510438,29.309510928510445,31.30951092851045,33.30951092851045,35.30951092851045,37.30951092851045,39.30951092851045,41.30951092851045,43.30951092851045,45.30951092851045,47.30951092851045,49.30951092851045,51.30951092851045,53.30951092851045,55.30951092851045
300.0,-45.40952730646664,-43.40952730646664,-41.40952730646664,-39.40952730646664,-37.40952730646665,-35.40952730646664,-33.409527306466636,-31.40952730646664,-29.409527306466643,-27.409527306466646,-25.409527306466643,-23.409527306466643,-21.409527306466643,-19.40952730646664,-17.409527306466636,-15.409527306466638,-13.409527306466638,-11.40952730646664,-9.409527306466638,-7.409527306466638,-5.409527306466638,-3.409527306466641,-1.4095273064666396,0.5904726935333593,2.5904726935333593,4.590472693533357,6.590472693533357,8.590472693533357,10.590472693533355,12.590472693533355,14.590472693533354,16.590472693533357,18.590472693533354,20.590472693533354,22.59047269353335,24.590472693533354,26.590472693533357,28.590472693533357,30.590472693533357,32.59047269353336,34.59047269353336,36.59047269353336,38.59047269353336,40.59047269353336,42.59047269353336,44.59047269353336,46.59047269353336,48.59047269353336,50.59047269353336,52.59047269353336
350.0,-48.26257209190546,-46.26257209190545,-44.26257209190545,-42.26257209190546,-40.262572091905476,-38.26257209190546,-36.26257209190546,-34.26257209190546,-32.26257209190547,-30.26257209190547,-28.262572091905465,-26.262572091905465,-24.262572091905465,-22.262572091905472,-20.26257209190547,-18.26257209190547,-16.262572091905465,-14.262572091905465,-12.26257209190546,-10.262572091905458,-8.262572091905454,-6.262572091905454,-4.2625720919054535,-2.2625720919054544,-0.2625720919054557,1.7374279080945425,3.737427908094542,5.737427908094542,7.7374279080945385,9.737427908094546,11.737427908094544,13.737427908094542,15.737427908094539,17.737427908094542,19.737427908094542,21.737427908094542,23.737427908094542,25.737427908094535,27.73742790809454,29.73742790809454,31.73742790809454,33.73742790809454,35.73742790809454,37.73742790809454,39.73742790809454,41.73742790809454,43.73742790809454,45.73742790809454,47.73742790809454,49.73742790809454
400.0,-51.25401530472774,-49.25401530472774,-47.254015304727744,-45.254015304727744,-43.25401530472774,-41.25401530472774,-39.25401530472774,-37.25401530472774,-35.25401530472774,-33.25401530472773,-31.254015304727726,-29.254015304727726,-27.254015304727734,-25.254015304727734,-23.254015304727734,-21.254015304727734,-19.25401530472774,-17.25401530472774,-15.254015304727737,-13.254015304727739,-11.254015304727739,-9.254015304727737,-7.254015304727737,-5.254015304727735,-3.254015304727737,-1.2540153047277367,0.7459846952722593,2.745984695272259,4.745984695272263,6.745984695272259,8.745984695272265,10.745984695272263,12.745984695272265,14.745984695272266,16.745984695272266,18.745984695272266,20.745984695272266,22.745984695272266,24.745984695272263,26.74598469527227,28.745984695272266,30.745984695272263,32.74598469527226,34.74598469527226,36.74598469527226,38.74598469527226,40.74598469527226,42.74598469527226,44.74598469527226,46.74598469527226
450.0,-54.388244533953355,-52.388244533953355,-50.388244533953355,-48.388244533953355,-46.388244533953355,-44.388244533953355,-42.388244533953355,-40.388244533953355,-38.38824453395334,-36.38824453395334,-34.38824453395334,-32.38824453395334,-30.388244533953344,-28.388244533953344,-26.388244533953348,-24.388244533953344,-22.388244533953344,-20.388244533953348,-18.388244533953348,-16.388244533953348,-14.388244533953348,-12.388244533953344,-10.38824453395335,-8.388244533953351,-6.388244533953351,-4.388244533953352,-2.388244533953352,-0.3882445339533549,1.611755466046648,3.611755466046647,5.611755466046649,7.611755466046645,9.611755466046649,11.611755466046649,13.611755466046649,15.611755466046649,17.61175546604665,19.61175546604665,21.61175546604665,23.61175546604665,25.611755466046645,27.611755466046645,29.61175546604665,31.61175546604665,33.611755466046645,35.611755466046645,37.611755466046645,39.611755466046645,41.611755466046645,43.611755466046645
500.0,-57.669631538670764,-55.66963153867077,-53.669631538670764,-51.66963153867076,-49.66963153867076,-47.66963153867076,-45.669631538670764,-43.66963153867076,-41.66963153867076,-39.66963153867075,-37.66963153867076,-35.51606544969623,-33.337924064090274,-31.337924064090274,-29.33792406409027,-27.33792406409027,-25.33792406409027,-23.337924064090274,-21.337924064090274,-19.33792406409027,-17.337924064090274,-15.33792406409027,-13.33792406409027,-11.33792406409027,-9.337924064090274,-7.337924064090271,-5.33792406409027,-3.3379240640902683,-1.3379240640902643,0.6620759359097339,2.6620759359097326,4.662075935909731,6.662075935909731,8.662075935909733,10.662075935909733,12.662075935909733,14.662075935909733,16.662075935909733,18.662075935909733,20.662075935909733,22.662075935909733,24.66207593590973,26.66207593590973,28.66207593590973,30.662075935909733,32.66207593590973,34.66207593590973,36.66207593590973,38.66207593590973,40.66207593590973
550.0,-61.102520073960946,-59.102520073960946,-57.102520073960946,-55.102520073960946,-53.10252007396096,-51.102520073960946,-49.102520073960946,-47.102520073960946,-45.102520073960946,-43.10252007396095,-41.10252007396095,-38.261070022066605,-36.02713604908623,-34.02713604908623,-32.02713604908623,-30.02713604908623,-28.02713604908623,-26.027136049086238,-24.027136049086224,-22.027136049086224,-20.027136049086224,-18.027136049086224,-16.02713604908623,-14.027136049086225,-12.027136049086224,-10.027136049086227,-8.027136049086227,-6.027136049086228,-4.02713604908623,-2.02713604908623,-0.027136049086227132,1.9728639509137729,3.972863950913773,5.972863950913776,7.972863950913771,9.97286395091377,11.972863950913768,13.97286395091377,15.97286395091377,17.97286395091377,19.97286395091377,21.97286395091377,23.97286395091377,25.972863950913776,27.972863950913776,29.972863950913776,31.972863950913776,33.972863950913776,35.972863950913776,37.972863950913776
600.0,-64.69121309453976,-62.69121309453977,-60.69121309453976,-58.691213094539755,-56.691213094539755,-54.691213094539755,-52.691213094539755,-50.69121309453975,-48.691213094539755,-46.691213094539755,-44.691213094539755,-41.13065889716526,-38.83840014409011,-36.838400144090116,-34.838400144090116,-32.838400144090116,-30.838400144090112,-28.838400144090112,-26.838400144090112,-24.838400144090116,-22.838400144090116,-20.838400144090116,-18.838400144090116,-16.838400144090116,-14.838400144090116,-12.838400144090114,-10.838400144090114,-8.838400144090114,-6.838400144090112,-4.838400144090114,-2.8384001440901137,-0.8384001440901128,1.1615998559098872,3.161599855909888,5.1615998559098895,7.161599855909891,9.161599855909891,11.161599855909891,13.161599855909891,15.161599855909891,17.16159985590989,19.16159985590989,21.16159985590989,23.161599855909888,25.161599855909888,27.161599855909888,29.161599855909888,31.161599855909888,33.161599855909884,35.161599855909884
650.0,-68.43995934925331,-66.43995934925331,-64.43995934925331,-62.439959349253314,-60.439959349253314,-58.439959349253314,-56.439959349253314,-54.43995934925331,-52.439959349253314,-50.439959349253314,-48.439959349253314,-44.128229457368484,-41.7750446792242,-39.775044679224195,-37.775044679224195,-35.7750446792242,-33.7750446792242,-31.7750446792242,-29.77504467922421,-27.7750446792242,-25.7750446792242,-23.7750446792242,-21.7750446792242,-19.7750446792242,-17.775044679224205,-15.775044679224205,-13.775044679224203,-11.775044679224205,-9.775044679224209,-7.775044679224203,-5.775044679224203,-3.775044679224204,-1.7750446792242038,0.2249553207757975,2.2249553207757953,4.224955320775793,6.224955320775793,8.224955320775793,10.224955320775795,12.224955320775795,14.224955320775797,16.2249553207758,18.2249553207758,20.2249553207758,22.2249553207758,24.224955320775795,26.2249553207758,28.2249553207758,30.2249553207758,32.2249553207758
700.0,-72.35293938306053,-70.35293938306053,-68.35293938306052,-66.35293938306053,-64.35293938306053,-62.352939383060516,-60.35293938306053,-58.35293938306053,-56.35293938306053,-54.35293938306052,-52.2346870905507,-47.25712454789516,-44.84034455592838,-42.84034455592838,-40.84034455592839,-38.84034455592839,-36.84034455592839,-34.84034455592839,-32.84034455592839,-30.84034455592838,-28.840344555928386,-26.840344555928386,-24.840344555928386,-22.840344555928386,-20.84034455592839,-18.84034455592839,-16.84034455592839,-14.840344555928391,-12.84034455592839,-10.84034455592839,-8.84034455592839,-6.8403445559283895,-4.840344555928388,-2.8403445559283904,-0.8403445559283944,1.1596554440716056,3.1596554440716056,5.159655444071605,7.159655444071605,9.159655444071605,11.159655444071607,13.159655444071605,15.159655444071605,17.159655444071607,19.159655444071607,21.159655444071607,23.159655444071607,25.159655444071607,27.159655444071607,29.159655444071607
750.0,-76.4342509667511,-74.43425096675108,-72.4342509667511,-70.43425096675108,-68.43425096675108,-66.4342509667511,-64.4342509667511,-62.43425096675109,-60.43425096675109,-58.43425096675109,-55.53607207835075,-50.52062082612539,-48.03750983308052,-46.03750983308052,-44.03750983308052,-42.03750983308052,-40.03750983308052,-38.03750983308052,-36.03750983308052,-34.03750983308052,-32.03750983308052,-30.03750983308052,-28.037509833080517,-26.037509833080513,-24.037509833080513,-22.037509833080517,-20.03750983308052,-18.037509833080524,-16.037509833080524,-14.037509833080522,-12.037509833080522,-10.037509833080522,-8.037509833080524,-6.037509833080524,-4.037509833080524,-2.0375098330805237,-0.03750983308052236,1.9624901669194776,3.9624901669194776,5.9624901669194745,7.9624901669194745,9.962490166919475,11.962490166919476,13.962490166919476,15.962490166919476,17.962490166919476,19.962490166919476,21.962490166919476,23.962490166919476,25.962490166919476
800.0,-80.6878939783639,-78.6878939783639,-76.6878939783639,-74.68789397836392,-72.6878939783639,-70.68789397836392,-68.6878939783639,-66.68789397836392,-64.68789397836392,-62.68789397836392,-58.97685646690772,-53.921916672488045,-51.3696738835968,-49.36967388359681,-47.36967388359682,-45.36967388359682,-43.36967388359681,-41.3696738835968,-39.3696738835968,-37.3696738835968,-35.3696738835968,-33.3696738835968,-31.369673883596796,-29.369673883596796,-27.369673883596796,-25.369673883596796,-23.3696738835968,-21.3696738835968,-19.369673883596803,-17.369673883596807,-15.369673883596802,-13.369673883596802,-11.369673883596802,-9.369673883596802,-7.369673883596803,-5.3696738835968,-3.3696738835967985,-1.369673883596798,0.6303261164032001,2.6303261164031997,4.630326116403198,6.630326116403198,8.6303261164032,10.6303261164032,12.6303261164032,14.6303261164032,16.6303261164032,18.6303261164032,20.6303261164032,22.6303261164032
